exp,model_type,target_type,condition,model,context_sents,target_sent,region,surp
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,it was a fun evening .,even though the band left a party went on for at least another two hours .,went on,17.4760400056839
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,it was a fun evening .,even though the band left a party went on for at least another two hours .,went on,18.35230016708374
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,it was a fun evening .,even though the band left a party went on for at least another two hours .,went on,17.508464813232422
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,it was a fun evening .,even though the band left a party went on for at least another two hours .,went on,16.86878252029419
def,shuffled,reduced,New_IndefAmbi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,it was a fun evening .,even though the band left a party went on for at least another two hours .,went on,18.104785442352295
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,it was a fun evening .,even though the band left a party went on for at least another two hours .,went on,17.84037184715271
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,it was a fun evening .,even though the band left a party went on for at least another two hours .,went on,18.28584885597229
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,it was a fun evening .,even though the band left a party went on for at least another two hours .,went on,16.942264556884766
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,it was a fun evening .,even though the band left a party went on for at least another two hours .,went on,18.35923147201538
def,ordered,reduced,New_IndefAmbi,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,it was a fun evening .,even though the band left a party went on for at least another two hours .,went on,19.840123176574707
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,a party was organized this evening .,even though the band left the party went on for at least another two hours .,went on,19.06893026828766
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,a party was organized this evening .,even though the band left the party went on for at least another two hours .,went on,18.710315704345703
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,a party was organized this evening .,even though the band left the party went on for at least another two hours .,went on,18.108664870262146
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,a party was organized this evening .,even though the band left the party went on for at least another two hours .,went on,18.62519359588623
def,shuffled,reduced,Old_DefAmbi,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,a party was organized this evening .,even though the band left the party went on for at least another two hours .,went on,18.697551488876343
def,ordered,reduced,Old_DefAmbi,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,a party was organized this evening .,even though the band left the party went on for at least another two hours .,went on,17.82568907737732
