exp,model_type,target_type,condition,model,context_sents,target_sent,rel_surp,by_surp,verb_by_surp,det_surp,noun_surp,NP_surp,RC_surp,verb_surp,extra_surp,main_surp
ref,shuffled,reduced,1NP_Reduced,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient presented by the doctor felt embarrassed for getting all the attention .,13.439925193786621,7.95868444442749,21.39860963821411,1.910845398902893,7.802671432495117,9.71351683139801,31.11212646961212,10.057160377502441,14.074519157409668,24.13167953491211
ref,shuffled,reduced,1NP_Reduced,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient presented by the doctor felt embarrassed for getting all the attention .,13.083187103271484,6.75393009185791,19.837117195129395,1.978441596031189,7.260956764221191,9.23939836025238,29.076515555381775,11.034804344177246,12.068122863769531,23.102927207946777
ref,shuffled,reduced,1NP_Reduced,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient presented by the doctor felt embarrassed for getting all the attention .,14.180086135864258,8.518548011779785,22.698634147644043,1.8087760210037231,8.604923248291016,10.413699269294739,33.11233341693878,11.938447952270508,14.11620807647705,26.05465602874756
ref,shuffled,reduced,1NP_Reduced,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient presented by the doctor felt embarrassed for getting all the attention .,14.161331176757812,7.776212215423584,21.937543392181396,2.0310680866241455,8.019218444824219,10.050286531448364,31.98782992362976,13.203277587890625,13.923230171203613,27.12650775909424
ref,shuffled,reduced,1NP_Reduced,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient presented by the doctor felt embarrassed for getting all the attention .,13.985172271728516,6.8269147872924805,20.812087059020996,1.6658966541290283,7.78303861618042,9.448935270309448,30.261022329330444,11.70997142791748,14.22572135925293,25.93569278717041
ref,ordered,reduced,1NP_Reduced,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient presented by the doctor felt embarrassed for getting all the attention .,10.587274551391602,7.230990409851074,17.818264961242676,1.707319736480713,5.315029621124268,7.0223493576049805,24.840614318847656,11.733333587646484,15.053523063659668,26.786856651306152
ref,ordered,reduced,1NP_Reduced,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient presented by the doctor felt embarrassed for getting all the attention .,10.53648567199707,9.208783149719238,19.74526882171631,1.7430121898651123,4.774144649505615,6.5171568393707275,26.262425661087036,11.469121932983398,14.635802268981934,26.104924201965332
ref,ordered,reduced,1NP_Reduced,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient presented by the doctor felt embarrassed for getting all the attention .,11.12153434753418,8.99276065826416,20.11429500579834,1.7361207008361816,5.195215702056885,6.931336402893066,27.045631408691406,10.32496166229248,13.960999488830566,24.285961151123047
ref,ordered,reduced,1NP_Reduced,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient presented by the doctor felt embarrassed for getting all the attention .,10.617938995361328,8.418099403381348,19.036038398742676,2.0447349548339844,6.537680625915527,8.582415580749512,27.618453979492188,11.481523513793945,14.71245288848877,26.193976402282715
ref,ordered,reduced,1NP_Reduced,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient presented by the doctor felt embarrassed for getting all the attention .,12.275748252868652,8.034529685974121,20.310277938842773,1.9320335388183594,6.143946647644043,8.075980186462402,28.386258125305176,10.73080062866211,12.612529754638672,23.34333038330078
ref,shuffled,reduced,2NP_Reduced,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,two patients were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented one of the patients to them but not the other .,the patient presented by the doctor felt embarrassed for getting all the attention .,13.438283920288086,7.958941459655762,21.397225379943848,1.9111802577972412,7.806361198425293,9.717541456222534,31.114766836166382,10.058311462402344,14.075065612792969,24.133377075195312
ref,shuffled,reduced,2NP_Reduced,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,two patients were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented one of the patients to them but not the other .,the patient presented by the doctor felt embarrassed for getting all the attention .,13.079034805297852,6.7621307373046875,19.84116554260254,1.9777755737304688,7.256470680236816,9.234246253967285,29.075411796569824,11.037972450256348,12.067970275878906,23.105942726135254
ref,shuffled,reduced,2NP_Reduced,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,two patients were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented one of the patients to them but not the other .,the patient presented by the doctor felt embarrassed for getting all the attention .,14.172751426696777,8.501509666442871,22.67426109313965,1.8086273670196533,8.594135284423828,10.402762651443481,33.07702374458313,11.93940258026123,14.11384105682373,26.05324363708496
ref,shuffled,reduced,2NP_Reduced,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,two patients were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented one of the patients to them but not the other .,the patient presented by the doctor felt embarrassed for getting all the attention .,14.156707763671875,7.775935649871826,21.9326434135437,2.031176805496216,8.01605224609375,10.047229051589966,31.979872465133667,13.198454856872559,13.928669929504395,27.127124786376953
ref,shuffled,reduced,2NP_Reduced,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,two patients were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented one of the patients to them but not the other .,the patient presented by the doctor felt embarrassed for getting all the attention .,13.973982810974121,6.843722343444824,20.817705154418945,1.6668633222579956,7.783506870269775,9.450370192527771,30.268075346946716,11.700362205505371,14.229848861694336,25.930211067199707
ref,ordered,reduced,2NP_Reduced,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,two patients were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented one of the patients to them but not the other .,the patient presented by the doctor felt embarrassed for getting all the attention .,10.485799789428711,7.275915145874023,17.761714935302734,1.6637235879898071,5.322790622711182,6.986514210700989,24.748229146003723,11.244250297546387,14.721695899963379,25.965946197509766
ref,ordered,reduced,2NP_Reduced,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,two patients were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented one of the patients to them but not the other .,the patient presented by the doctor felt embarrassed for getting all the attention .,10.562747955322266,9.383013725280762,19.945761680603027,1.7508940696716309,4.575744152069092,6.326638221740723,26.27239990234375,11.460290908813477,14.641810417175293,26.10210132598877
ref,ordered,reduced,2NP_Reduced,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,two patients were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented one of the patients to them but not the other .,the patient presented by the doctor felt embarrassed for getting all the attention .,10.585232734680176,9.035111427307129,19.620344161987305,1.6525324583053589,5.255377292633057,6.9079097509384155,26.52825391292572,10.36186408996582,14.23794174194336,24.59980583190918
ref,ordered,reduced,2NP_Reduced,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,two patients were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented one of the patients to them but not the other .,the patient presented by the doctor felt embarrassed for getting all the attention .,10.25560474395752,8.404204368591309,18.659809112548828,1.993204116821289,6.169619083404541,8.16282320022583,26.822632312774658,11.375799179077148,14.65553092956543,26.031330108642578
ref,ordered,reduced,2NP_Reduced,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,two patients were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented one of the patients to them but not the other .,the patient presented by the doctor felt embarrassed for getting all the attention .,11.944278717041016,8.12503433227539,20.069313049316406,1.9331927299499512,6.674055099487305,8.607247829437256,28.676560878753662,10.44619083404541,12.626638412475586,23.072829246520996
ref,shuffled,unreduced,1NP_Unreduced,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient who was presented by the doctor felt embarrassed for getting all the attention .,10.361690521240234,3.8435218334198,14.205212354660034,1.7399661540985107,7.937726974487305,9.677693128585815,23.88290548324585,10.084184646606445,13.449111938476562,23.533296585083008
ref,shuffled,unreduced,1NP_Unreduced,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,a patient and her son were waiting for their doctor to introduce them to the team of specialists that would handle their case . the doctor presented the patient to them but not the son .,the patient who was presented by the doctor felt embarrassed for getting all the attention .,11.020119667053223,3.6758246421813965,14.69594430923462,2.094489336013794,7.3417840003967285,9.436273336410522,24.13221764564514,10.986063003540039,11.392805099487305,22.378868103027344
